"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","EMPEDU","BUPPSRY","PC_25_64","A","2015",59.960529,
"NLD","EMPEDU","BUPPSRY","PC_25_64","A","2016",60.713444,
"NLD","EMPEDU","BUPPSRY","PC_25_64","A","2017",61.267605,
"NLD","EMPEDU","BUPPSRY","PC_25_64","A","2018",62.589851,
"PRT","EMPEDU","BUPPSRY","PC_25_64","A","2014",62.979923,
"PRT","EMPEDU","BUPPSRY","PC_25_64","A","2015",64.260094,
"PRT","EMPEDU","BUPPSRY","PC_25_64","A","2016",65.462509,
"PRT","EMPEDU","BUPPSRY","PC_25_64","A","2017",68.405159,
"PRT","EMPEDU","BUPPSRY","PC_25_64","A","2018",70.047951,
"SVN","EMPEDU","BUPPSRY","PC_25_64","A","2014",48.500076,
"SVN","EMPEDU","BUPPSRY","PC_25_64","A","2015",48.964321,
"SVN","EMPEDU","BUPPSRY","PC_25_64","A","2016",46.098511,
"SVN","EMPEDU","BUPPSRY","PC_25_64","A","2017",45.92458,
"SVN","EMPEDU","BUPPSRY","PC_25_64","A","2018",51.293549,
"OAVG","EMPEDU","BUPPSRY","PC_25_64","A","2014",55.204301,
"OAVG","EMPEDU","BUPPSRY","PC_25_64","A","2015",55.744937,
"OAVG","EMPEDU","BUPPSRY","PC_25_64","A","2016",56.954566,
"OAVG","EMPEDU","BUPPSRY","PC_25_64","A","2017",57.902068,
"OAVG","EMPEDU","BUPPSRY","PC_25_64","A","2018",58.936188,
"CZE","EMPEDU","BUPPSRY","PC_25_64","A","2014",43.02264,
"CZE","EMPEDU","BUPPSRY","PC_25_64","A","2015",41.919285,
"CZE","EMPEDU","BUPPSRY","PC_25_64","A","2016",45.122135,
"CZE","EMPEDU","BUPPSRY","PC_25_64","A","2017",50.521461,
"CZE","EMPEDU","BUPPSRY","PC_25_64","A","2018",52.233006,
"LVA","EMPEDU","BUPPSRY","PC_25_64","A","2014",54.105034,
"LVA","EMPEDU","BUPPSRY","PC_25_64","A","2015",56.425018,
"LVA","EMPEDU","BUPPSRY","PC_25_64","A","2016",58.827591,
"LVA","EMPEDU","BUPPSRY","PC_25_64","A","2017",61.445526,
"LVA","EMPEDU","BUPPSRY","PC_25_64","A","2018",61.97654,
"NZL","EMPEDU","BUPPSRY","PC_25_64","A","2014",70.867348,
"NZL","EMPEDU","BUPPSRY","PC_25_64","A","2015",69.111115,
"NZL","EMPEDU","BUPPSRY","PC_25_64","A","2016",71.655121,
"NZL","EMPEDU","BUPPSRY","PC_25_64","A","2017",72.886696,
"NZL","EMPEDU","BUPPSRY","PC_25_64","A","2018",72.096405,
"AUS","EMPEDU","BUPPSRY","PC_25_64","A","2014",59.668468,
"AUS","EMPEDU","BUPPSRY","PC_25_64","A","2015",58.48666,
"AUS","EMPEDU","BUPPSRY","PC_25_64","A","2016",58.07053,
"AUS","EMPEDU","BUPPSRY","PC_25_64","A","2017",58.893112,
"AUS","EMPEDU","BUPPSRY","PC_25_64","A","2018",60.128365,
"DEU","EMPEDU","BUPPSRY","PC_25_64","A","2014",57.983791,
"DEU","EMPEDU","BUPPSRY","PC_25_64","A","2015",58.731674,
"DEU","EMPEDU","BUPPSRY","PC_25_64","A","2016",59.416393,
"DEU","EMPEDU","BUPPSRY","PC_25_64","A","2017",60.017593,
"DEU","EMPEDU","BUPPSRY","PC_25_64","A","2018",60.951149,
"POL","EMPEDU","BUPPSRY","PC_25_64","A","2014",39.246231,
"POL","EMPEDU","BUPPSRY","PC_25_64","A","2015",40.807873,
"POL","EMPEDU","BUPPSRY","PC_25_64","A","2016",40.736607,
"POL","EMPEDU","BUPPSRY","PC_25_64","A","2017",41.831684,
"POL","EMPEDU","BUPPSRY","PC_25_64","A","2018",43.071896,
"ISL","EMPEDU","BUPPSRY","PC_25_64","A","2014",76.800369,
"ISL","EMPEDU","BUPPSRY","PC_25_64","A","2015",78.433784,
"ISL","EMPEDU","BUPPSRY","PC_25_64","A","2016",78.790939,
"ISL","EMPEDU","BUPPSRY","PC_25_64","A","2017",77.02079,
"ISL","EMPEDU","BUPPSRY","PC_25_64","A","2018",76.547707,
"MEX","EMPEDU","BUPPSRY","PC_25_64","A","2014",63.824726,
"MEX","EMPEDU","BUPPSRY","PC_25_64","A","2015",64.448311,
"MEX","EMPEDU","BUPPSRY","PC_25_64","A","2016",64.834747,
"MEX","EMPEDU","BUPPSRY","PC_25_64","A","2017",64.624901,
"MEX","EMPEDU","BUPPSRY","PC_25_64","A","2018",65.053772,
"BEL","EMPEDU","BUPPSRY","PC_25_64","A","2014",47.473766,
"BEL","EMPEDU","BUPPSRY","PC_25_64","A","2015",46.631485,
"BEL","EMPEDU","BUPPSRY","PC_25_64","A","2016",46.364117,
"BEL","EMPEDU","BUPPSRY","PC_25_64","A","2017",46.53194,
"BEL","EMPEDU","BUPPSRY","PC_25_64","A","2018",46.481766,
"HUN","EMPEDU","BUPPSRY","PC_25_64","A","2014",45.252956,
"HUN","EMPEDU","BUPPSRY","PC_25_64","A","2015",48.08321,
"HUN","EMPEDU","BUPPSRY","PC_25_64","A","2016",51.73748,
"HUN","EMPEDU","BUPPSRY","PC_25_64","A","2017",55.091339,
"HUN","EMPEDU","BUPPSRY","PC_25_64","A","2018",56.975697,
"IRL","EMPEDU","BUPPSRY","PC_25_64","A","2014",46.625233,
"IRL","EMPEDU","BUPPSRY","PC_25_64","A","2015",48.814857,
"IRL","EMPEDU","BUPPSRY","PC_25_64","A","2017",50.852608,
"IRL","EMPEDU","BUPPSRY","PC_25_64","A","2018",52.373951,
"SWE","EMPEDU","BUPPSRY","PC_25_64","A","2014",65.859032,
"SWE","EMPEDU","BUPPSRY","PC_25_64","A","2015",65.871948,
"SWE","EMPEDU","BUPPSRY","PC_25_64","A","2016",65.907257,
"SWE","EMPEDU","BUPPSRY","PC_25_64","A","2017",66.827072,
"SWE","EMPEDU","BUPPSRY","PC_25_64","A","2018",66.976173,
"ITA","EMPEDU","BUPPSRY","PC_25_64","A","2014",49.566059,
"ITA","EMPEDU","BUPPSRY","PC_25_64","A","2015",50.188339,
"ITA","EMPEDU","BUPPSRY","PC_25_64","A","2016",51.179424,
"ITA","EMPEDU","BUPPSRY","PC_25_64","A","2017",51.803944,
"ITA","EMPEDU","BUPPSRY","PC_25_64","A","2018",52.530197,
"BRA","EMPEDU","BUPPSRY","PC_25_64","A","2014",67.845276,
"BRA","EMPEDU","BUPPSRY","PC_25_64","A","2015",65.005676,
"BRA","EMPEDU","BUPPSRY","PC_25_64","A","2016",59.906944,
"BRA","EMPEDU","BUPPSRY","PC_25_64","A","2017",58.935989,
"FRA","EMPEDU","BUPPSRY","PC_25_64","A","2014",54.099674,
"FRA","EMPEDU","BUPPSRY","PC_25_64","A","2015",52.213428,
"FRA","EMPEDU","BUPPSRY","PC_25_64","A","2016",51.278957,
"FRA","EMPEDU","BUPPSRY","PC_25_64","A","2017",52.730328,
"FRA","EMPEDU","BUPPSRY","PC_25_64","A","2018",52.939545,
"NOR","EMPEDU","BUPPSRY","PC_25_64","A","2014",61.926231,
"NOR","EMPEDU","BUPPSRY","PC_25_64","A","2015",61.012028,
"NOR","EMPEDU","BUPPSRY","PC_25_64","A","2016",61.723858,
"NOR","EMPEDU","BUPPSRY","PC_25_64","A","2017",61.126648,
"NOR","EMPEDU","BUPPSRY","PC_25_64","A","2018",61.459454,
"CAN","EMPEDU","BUPPSRY","PC_25_64","A","2014",55.775234,
"CAN","EMPEDU","BUPPSRY","PC_25_64","A","2015",55.196552,
"CAN","EMPEDU","BUPPSRY","PC_25_64","A","2016",54.560349,
"CAN","EMPEDU","BUPPSRY","PC_25_64","A","2017",55.593803,
"CAN","EMPEDU","BUPPSRY","PC_25_64","A","2018",55.602409,
"FIN","EMPEDU","BUPPSRY","PC_25_64","A","2014",53.502769,
"FIN","EMPEDU","BUPPSRY","PC_25_64","A","2015",53.353443,
"FIN","EMPEDU","BUPPSRY","PC_25_64","A","2016",53.709198,
"FIN","EMPEDU","BUPPSRY","PC_25_64","A","2017",52.727272,
"FIN","EMPEDU","BUPPSRY","PC_25_64","A","2018",54.635761,
"RUS","EMPEDU","BUPPSRY","PC_25_64","A","2014",49.221684,
"RUS","EMPEDU","BUPPSRY","PC_25_64","A","2015",50.487831,
"RUS","EMPEDU","BUPPSRY","PC_25_64","A","2016",51.10561,
"RUS","EMPEDU","BUPPSRY","PC_25_64","A","2017",53.587872,
"LUX","EMPEDU","BUPPSRY","PC_25_64","A","2014",60.885242,
"LUX","EMPEDU","BUPPSRY","PC_25_64","A","2015",62.254662,
"LUX","EMPEDU","BUPPSRY","PC_25_64","A","2016",59.628651,
"LUX","EMPEDU","BUPPSRY","PC_25_64","A","2017",60.378494,
"LUX","EMPEDU","BUPPSRY","PC_25_64","A","2018",61.973526,
"ESP","EMPEDU","BUPPSRY","PC_25_64","A","2014",49.384544,
"ESP","EMPEDU","BUPPSRY","PC_25_64","A","2015",51.587471,
"ESP","EMPEDU","BUPPSRY","PC_25_64","A","2016",53.882187,
"ESP","EMPEDU","BUPPSRY","PC_25_64","A","2017",55.527878,
"ESP","EMPEDU","BUPPSRY","PC_25_64","A","2018",57.405262,
"ISR","EMPEDU","BUPPSRY","PC_25_64","A","2014",48.639103,
"ISR","EMPEDU","BUPPSRY","PC_25_64","A","2015",48.584198,
"ISR","EMPEDU","BUPPSRY","PC_25_64","A","2016",48.119892,
"ISR","EMPEDU","BUPPSRY","PC_25_64","A","2017",52.498909,
"COL","EMPEDU","BUPPSRY","PC_25_64","A","2014",72.179565,
"COL","EMPEDU","BUPPSRY","PC_25_64","A","2015",71.94149,
"COL","EMPEDU","BUPPSRY","PC_25_64","A","2016",71.979202,
"COL","EMPEDU","BUPPSRY","PC_25_64","A","2017",71.794205,
"COL","EMPEDU","BUPPSRY","PC_25_64","A","2018",71.09211,
"ARG","EMPEDU","BUPPSRY","PC_25_64","A","2014",65.396927,
"ARG","EMPEDU","BUPPSRY","PC_25_64","A","2017",65.319916,
"ARG","EMPEDU","BUPPSRY","PC_25_64","A","2018",64.307777,
"CHL","EMPEDU","BUPPSRY","PC_25_64","A","2015",62.158195,
"CHL","EMPEDU","BUPPSRY","PC_25_64","A","2017",62.410728,
"IDN","EMPEDU","BUPPSRY","PC_25_64","A","2014",73.708832,
"IDN","EMPEDU","BUPPSRY","PC_25_64","A","2015",73.092537,
"IDN","EMPEDU","BUPPSRY","PC_25_64","A","2016",72.363319,
"IDN","EMPEDU","BUPPSRY","PC_25_64","A","2017",73.038063,
"LTU","EMPEDU","BUPPSRY","PC_25_64","A","2014",48.12862,
"LTU","EMPEDU","BUPPSRY","PC_25_64","A","2015",50.018356,
"LTU","EMPEDU","BUPPSRY","PC_25_64","A","2016",49.252579,
"LTU","EMPEDU","BUPPSRY","PC_25_64","A","2017",52.07909,
"LTU","EMPEDU","BUPPSRY","PC_25_64","A","2018",55.125961,
"SAU","EMPEDU","BUPPSRY","PC_25_64","A","2014",59.740944,
"SAU","EMPEDU","BUPPSRY","PC_25_64","A","2016",61.894051,
"ZAF","EMPEDU","BUPPSRY","PC_25_64","A","2014",43.150784,
"ZAF","EMPEDU","BUPPSRY","PC_25_64","A","2015",44.449112,
"ZAF","EMPEDU","BUPPSRY","PC_25_64","A","2016",43.885296,
"ZAF","EMPEDU","BUPPSRY","PC_25_64","A","2017",43.339066,
"ZAF","EMPEDU","BUPPSRY","PC_25_64","A","2018",43.915142,
"CRI","EMPEDU","BUPPSRY","PC_25_64","A","2014",65.438843,
"CRI","EMPEDU","BUPPSRY","PC_25_64","A","2015",64.481216,
"CRI","EMPEDU","BUPPSRY","PC_25_64","A","2016",61.668736,
"CRI","EMPEDU","BUPPSRY","PC_25_64","A","2017",63.806953,
"CRI","EMPEDU","BUPPSRY","PC_25_64","A","2018",65.368034,
